,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
51,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,Spain
52,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,United States
53,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,France
54,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,Italy
55,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,Japan
56,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,Malasya
57,Alocao (With Bad Gyal),Omar Montes,trap espanol,2019,31/12/1969,178,75,67,-5,11,70,209,21,6,84,Spain
58,Amor a Primera Vista,Los Angeles Azules,grupera,2019,31/12/1969,170,76,66,-6,41,95,221,32,6,81,Bolivia
59,ANSIA NO,FSK SATELLITE,italian hip hop,2019,31/12/1969,160,68,82,-7,22,71,149,15,56,73,Italy
60,April,Fiersa Besari,indonesian indie,2014,31/12/1969,80,47,36,-8,19,57,264,59,3,72,Indonesia
61,Aristocrate,Heuss L'enfoiré,french hip hop,2019,31/12/1969,117,61,94,-6,10,63,170,27,7,74,France
62,Atrévete,Nicky Jam,latin,2019,31/12/1969,184,68,55,-4,12,59,198,31,30,83,Bolivia
63,Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,31/12/1969,110,81,61,-5,42,45,190,52,4,77,Brazil
64,Avant toi,Vitaa,francoton,2019,31/12/1969,142,40,63,-9,10,25,224,88,3,72,France
65,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,Argentina
66,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,Bolivia
67,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,Colombia
68,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,Chile
69,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,Spain
70,Aventurero,Yeison Jimenez,colombian pop,2019,31/12/1969,93,63,85,-4,13,90,190,51,3,54,Colombia
71,Ayy Macarena,Tyga,pop rap,2019,31/12/1969,96,63,82,-6,7,72,132,13,23,90,Germany
72,Ayy Macarena,Tyga,pop rap,2019,31/12/1969,96,63,82,-6,7,72,132,13,23,90,Italy
73,B11 (feat. Myke Towers),Rvssian,latin,2019,31/12/1969,100,72,76,-5,13,20,252,7,12,83,Chile
74,B11 (feat. Myke Towers),Rvssian,latin,2019,31/12/1969,100,72,76,-5,13,20,252,7,12,83,Spain
75,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,hollywood,2014,31/12/1969,113,48,55,-9,28,56,166,65,6,81,Australia
76,"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,31/12/1969,114,57,58,-5,27,68,174,74,4,85,Canada
77,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,31/12/1969,130,20,47,-16,5,54,144,88,6,79,Canada
78,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,31/12/1969,130,20,47,-16,5,54,144,88,6,79,United States
79,bad guy,Billie Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,Belgium
80,bad guy,Billie Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,India
81,bad guy,Billie Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,Israel
82,bad guy,Billie Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,Japan
83,bad guy,Billie Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,Malasya
84,Baianá,Bakermat,deep euro house,2019,31/12/1969,122,76,50,-7,33,49,182,0,5,77,France
85,Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,31/12/1969,180,63,47,-6,13,43,189,7,34,94,United States
86,Barrio,Mahmood,italian arena pop,2019,31/12/1969,122,70,80,-7,11,57,165,6,7,77,Italy
87,Bâtiment,Niska,french hip hop,2019,31/12/1969,168,70,66,-7,7,65,211,29,14,76,France
88,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,Africa
89,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,Indonesia
90,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,Israel
91,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,Malasya
92,Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,31/12/1969,154,80,60,-4,74,68,160,36,20,81,Brazil
93,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,sertanejo universitario,2019,31/12/1969,196,90,39,-4,91,47,182,45,41,68,Brazil
94,Before You Go,Lewis Capaldi,pop,2019,31/12/1969,112,57,46,-5,9,18,215,60,6,82,Malasya
95,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,31/12/1969,172,59,31,-5,32,35,372,45,4,68,India
96,Believer,Imagine Dragons,modern rock,2017,31/12/1969,125,78,78,-4,8,67,204,6,13,89,India
97,Bellaquita,Dalex,latin,2019,31/12/1969,166,70,58,-4,17,77,205,9,11,85,Bolivia
98,Bellaquita - Remix,Dalex,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,Argentina
99,Bellaquita - Remix,Dalex,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,Bolivia
100,Bellaquita - Remix,Dalex,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,Colombia
101,Bellaquita - Remix,Dalex,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,Chile
102,Bellaquita - Remix,Dalex,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,Spain
103,Bicara (feat. Monita Tahalea),TheOvertunes,indonesian pop,2019,31/12/1969,77,37,57,-9,8,37,236,56,3,68,Indonesia
104,Blanca Navidad,Luis Miguel,bolero,2006,31/12/1969,90,40,36,-11,7,18,212,73,3,67,Chile
105,Blanco,J Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,Argentina
106,Blanco,J Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,Bolivia
107,Blanco,J Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,Colombia
108,Blanco,J Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,Spain
109,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,World
110,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,Belgium
111,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,Germany
112,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,France
113,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,India
114,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,Israel
115,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,Malasya
116,Block,Larry,french hip hop,2019,31/12/1969,77,74,72,-7,41,71,157,29,28,65,France
117,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,World
118,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,Africa
119,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,Australia
120,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,Belgium
121,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,Canada
122,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,United States
123,blun7 a swishland,tha Supreme,trap italiana,2019,31/12/1969,130,79,69,-6,26,57,168,13,25,80,Italy
124,BOP,DaBaby,nc hip hop,2019,31/12/1969,127,79,77,-4,13,84,160,19,37,92,United States
126,Bossoli,Shiva,italian hip hop,2019,31/12/1969,145,66,83,-8,14,80,179,44,26,77,Italy
127,Boy With Luv (feat. Halsey),BTS,k-pop,2019,31/12/1969,120,86,65,-5,19,80,230,9,10,87,Indonesia
128,Boy With Luv (feat. Halsey),BTS,k-pop,2019,31/12/1969,120,86,65,-5,19,80,230,9,10,87,Malasya
129,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,31/12/1969,95,69,61,-6,10,28,200,16,10,77,Italy
130,C90 - Remix,John C,argentine hip hop,2019,31/12/1969,123,76,87,-5,7,61,316,34,9,72,Argentina
131,Callaita,Bad Bunny,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,Argentina
132,Callaita,Bad Bunny,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,Bolivia
133,Callaita,Bad Bunny,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,Colombia
134,Callaita,Bad Bunny,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,Chile
135,Callaita,Bad Bunny,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,Spain
136,Calma - Remix,Pedro Capó,latin,2018,31/12/1969,127,77,83,-4,14,76,238,32,5,87,Argentina
137,Can We Kiss Forever?,Kina,pop,2018,31/12/1969,110,13,52,-19,9,12,188,89,4,84,Indonesia
138,CANGURO,WOS,argentine indie,2019,31/12/1969,164,75,60,-4,67,93,197,17,33,73,Argentina
139,Cariñito,Rodolfo Aicardi,classic colombian pop,2012,31/12/1969,106,57,68,-6,8,95,227,82,3,53,Colombia
140,Carol of the Bells,Mykola Dmytrovych Leontovych,post-romantic era,1990,31/12/1969,47,11,42,-23,18,80,85,99,4,84,United States
141,Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,31/12/1969,127,93,81,-1,87,92,216,41,4,67,Brazil
142,Celengan Rindu,Fiersa Besari,indonesian indie,2014,31/12/1969,117,54,64,-8,14,66,224,11,4,76,Indonesia
143,ch1 5ei te,tha Supreme,trap italiana,2019,31/12/1969,88,78,49,-6,16,32,184,5,7,76,Italy
144,Chal Bombay,DIVINE,desi hip hop,2019,31/12/1969,95,62,86,-7,12,51,174,4,32,68,India
145,Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,31/12/1969,150,84,89,-2,6,96,120,46,15,83,Brazil
146,Chandigarh Mein,Badshah,desi hip hop,2019,31/12/1969,100,87,81,-2,7,34,205,1,6,64,India
